ID;Kisten_Nr_KA;Kategorie;Snr;Schicht;Feld;x1;x2;y1;y2;Vq;entsorgt_annuliert;Fehlt;Fknr_FuL;Laufnr;Ausgewertet_AUSW_B;Kategorie_St_AUSW_B;Fragment_St_AUSW_B;Art_Fragment_St_AUSW_B;Gewicht_St_AUSW_B;Groesste_Laenge_St_AUSW_B;Groesste_Dicke_St_AUSW_B;Groesste_Breite_St_AUSW_B;Breite_1Viertel_St_AUSW_B;Breite_2Viertel_St_AUSW_B;Breite_3Viertel_St_AUSW_B;Dicke_1Viertel_St_AUSW_B;Dicke_2Viertel_St_AUSW_B;Dicke_3Viertel_St_AUSW_B;Laengssymmetrie_St_AUSW_B;Schneidensymmetrie_St_AUSW_B;BreitseitenBearbeit_Nackenflaeche_St_AUSW_B;NackenBearbeit_St_AUSW_B;SchmalseitenBearbeit_St_AUSW_B;Woelbung_Schmalseite_St_AUSW_B;Woelbung_Breitseite_St_AUSW_B;Nackenflaeche_St_AUSW_B;Gestein_St_AUSW_B;Anzahl_Saegeschnitt_St_AUSW_B;Tiefe_Saegeschnitt_St_AUSW_B;Vorpickung_B_St_AUSW_B;Hirschfassung_St_AUSW_B;Brand_St_AUSW_B;Bemerkung_St_AUSW_B;Gruppe_St_AUSW_B;Laenge_Gewicht_Index_St_AUSW_B;Breiten_Dicken_Index;Tangens_Nackenwinkel_St_AUSW_B;Mass_Schneidewinkel;Tangens_Breitseiten_Nackenwinkel_St_AUSW_B;Position_Saegeschnitt_St_AUSW_B;Saegeflaechenbreite_St_AUSW_B;Tipp_Gruppe_ST_AUSW_B;Schaeftungsspur_St_AUSW_B
617;0;Beil;205;13;6;490;0;144;0;-;FALSCH;WAHR;199;2;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
277;0;Netzsenker;4;;4;487;494;140;140;-;FALSCH;FALSCH;201;9;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
25116;0;Beil;614;13;12;487;0;141;0;a;FALSCH;FALSCH;960;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1940;0;Netzsenker;208;<12;17;491;0;147;0;a;FALSCH;FALSCH;1271;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1939;0;Netzsenker;208;<12;17;491;0;147;0;c;FALSCH;FALSCH;1272;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
1930;0;Netzsenker;208;<12;17;492;0;147;0;c;FALSCH;FALSCH;1275;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
2958;0;Netzsenker;208;<12;28;493;0;147;0;c;FALSCH;FALSCH;1753;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
2820;0;;21;14;39;494;0;159;0;a;FALSCH;WAHR;2001;3;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
3502;0;;678;14;42;474;0;166;0;c;FALSCH;WAHR;2393;1;-;-;-;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-;-;-;0;0;-;-;0;-;-;-;-;-;-;0;0;0;0;0;-;0;-;-
4885;0;Beil;252;13;61;505;0;154;0;a;FALSCH;FALSCH;2781;2;j;a;-;0;432;168.0;30.0;55.0;42.0;48.0;53.0;24.0;30.0;25.0;1;2;e;b;e;1;1;a;a;2;"1=-;2=-";-;-;-;1BS 2 Sägeschnitte verschliffen, Holmreste, Schäftungsspur 46 mm breit,;-;0;0;0;0;0;r;0;-;80
